Label,precision,recall,f1-score,support
advertisement,0.8148148148148148,0.6875,0.7457627118644068,32.0
author_information,1.0,1.0,1.0,1.0
chapter,0.0,0.0,0.0,0.0
cover-image,0.8,1.0,0.8888888888888888,8.0
feedback,1.0,0.625,0.7692307692307693,8.0
imprint,1.0,1.0,1.0,18.0
introduction,0.5,0.23529411764705882,0.32,17.0
reader-information,0.0,0.0,0.0,2.0
reading-sample,0.0,0.0,0.0,5.0
title-page,0.9583333333333334,0.92,0.9387755102040817,25.0
toc,1.0,1.0,1.0,17.0
accuracy,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579
macro avg,0.6430134680134679,0.5879812834224599,0.6056961709261951,133.0
weighted avg,0.819040657198552,0.7368421052631579,0.7672086601482732,133.0
