timestamp,chunk_id,status,strategy,wrapped_div,error_message
2026-01-19T17:12:18.227486,000533_Kufsteiner_Das-Berghotel-112_9783732528110_03,Error,non-chapter,None,"Error code: 404 - {'error': {'message': 'No endpoints found matching your data policy (Free model publication). Configure: https://openrouter.ai/settings/privacy', 'code': 404}}"
2026-01-19T17:12:18.271932,000533_Kufsteiner_Das-Berghotel-112_9783732528110_04,Error,non-chapter,None,"Error code: 404 - {'error': {'message': 'No endpoints found matching your data policy (Free model publication). Configure: https://openrouter.ai/settings/privacy', 'code': 404}}"
2026-01-19T17:12:18.314544,000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part01,Error,implicit_chapter_stars,None,"Error code: 404 - {'error': {'message': 'No endpoints found matching your data policy (Free model publication). Configure: https://openrouter.ai/settings/privacy', 'code': 404}}"
2026-01-19T17:12:18.536665,000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part02,Error,implicit_chapter_stars,None,"Error code: 404 - {'error': {'message': 'No endpoints found matching your data policy (Free model publication). Configure: https://openrouter.ai/settings/privacy', 'code': 404}}"
2026-01-19T17:12:18.581888,000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part03,Error,implicit_chapter_stars,None,"Error code: 404 - {'error': {'message': 'No endpoints found matching your data policy (Free model publication). Configure: https://openrouter.ai/settings/privacy', 'code': 404}}"
2026-01-19T17:12:18.623471,000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part04,Error,implicit_chapter_stars,None,"Error code: 404 - {'error': {'message': 'No endpoints found matching your data policy (Free model publication). Configure: https://openrouter.ai/settings/privacy', 'code': 404}}"
2026-01-19T17:12:18.668739,000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part05,Error,implicit_chapter_stars,None,"Error code: 404 - {'error': {'message': 'No endpoints found matching your data policy (Free model publication). Configure: https://openrouter.ai/settings/privacy', 'code': 404}}"
2026-01-19T17:12:18.714806,000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part06,Error,implicit_chapter_stars,None,"Error code: 404 - {'error': {'message': 'No endpoints found matching your data policy (Free model publication). Configure: https://openrouter.ai/settings/privacy', 'code': 404}}"
2026-01-19T17:12:18.759736,000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part07,Error,implicit_chapter_stars,None,"Error code: 404 - {'error': {'message': 'No endpoints found matching your data policy (Free model publication). Configure: https://openrouter.ai/settings/privacy', 'code': 404}}"
2026-01-19T17:12:18.800834,000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part08,Error,implicit_chapter_stars,None,"Error code: 404 - {'error': {'message': 'No endpoints found matching your data policy (Free model publication). Configure: https://openrouter.ai/settings/privacy', 'code': 404}}"
2026-01-19T17:12:18.846671,000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part09,Error,implicit_chapter_stars,None,"Error code: 404 - {'error': {'message': 'No endpoints found matching your data policy (Free model publication). Configure: https://openrouter.ai/settings/privacy', 'code': 404}}"
2026-01-19T17:12:18.904338,000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part10,Error,implicit_chapter_stars,None,"Error code: 404 - {'error': {'message': 'No endpoints found matching your data policy (Free model publication). Configure: https://openrouter.ai/settings/privacy', 'code': 404}}"
2026-01-19T17:12:18.951019,000533_Kufsteiner_Das-Berghotel-112_9783732528110_05_part11,Error,implicit_chapter_stars,None,"Error code: 404 - {'error': {'message': 'No endpoints found matching your data policy (Free model publication). Configure: https://openrouter.ai/settings/privacy', 'code': 404}}"
